,title,category
0,Tampa Para Champanhe Cromado Ibili - 722500,ICE_BUCKETS
1,Copo Térmico Plástico Os Jetsons Família Espacial,THERMAL_CUPS_AND_TUMBLERS
2,Nobreak Sms Bivolt 600va Para Pc Ps4 Xbox ,STABILIZERS_AND_UPS
3,Led De Balada Rgb Luz De Palco Dj Disco Strobo Festa Balada,LED_STAGE_LIGHTS
4,Filtro De Lente Cpl 52mm Kenko Polarizador Para Objetivas,LENS_FILTERS
5,Hb20 Hb20s Hb20x Revisão Hyundai 1.6 50 Mil Km Original,ENGINE_OIL_DIPSTICKS
7,Kit Para Piscina De Vinil 1 Super Led Rgb + Cascata Led 40cm,POOL_LIGHTS
8,Nobreak Ups Server P/ Rack 19  3u 2200va 2x18ah Bivolt/bivol,STABILIZERS_AND_UPS
9,Porta Chaves Gaveta Antiga.,KEY_RACKS
10,Antena Digital Bedinsat Hdtv/uhf Log 28 Elementos,TV_ANTENNAS
11,"Paralama Dianteiro Biz 100 Amarelo 1998, 99",MOTORCYCLE_FENDERS
12,Solda Inversora Gp-165 A Pró Euro Bivolt + Escudo De Solda,SOLDERING_MACHINES
13,Bateria Moura Mv12-d Bmw F 650 Gs 1993/2016,MOTORCYCLE_BATTERIES
15,Patins Roller Rosa 4 Rodas Classico C/ Kit Prot  Nº32/33,ROLLER_SKATES
16,Filtro Polarizador Circular Slim 77mm Hoya Canon Nikon Fpc,LENS_FILTERS
17,Patins Hello Kitty Tam M 35/38 Br765 - Multikids,ROLLER_SKATES
18,Presonus Faderport 8 ,DJ_CONTROLLERS
19,Receiver Pioneer Vsx-d712,AV_RECEIVERS
22,"Painel Flexivel De Led, Cortina De Led, Dj, P28mm",LED_STAGE_LIGHTS
23,Organizador Metálico De Ferramentas Vonder Amarelo Até 22 Kg,TOOL_BOXES
24,Controlador Midi Dj Allen Heath Xone K2 / Wm,DJ_CONTROLLERS
25,Porteiro Eletrônico Sem Fio Intelbras Tis 5010 Frete Grátis,ELECTRONIC_ENTRANCE_INTERCOMS
26,Barra Estabilizadora Cofap Btc10101,SWAY_BARS
27,Kit Automatizador Motor Portão Deslizante 1/3 Rcg 600kg 110v,GATE_MOTORS
28,Prateleira Suspensa Notebook Com Acessórios Pronta Para Usar,HOME_SHELVES
29,Alongador Pênis Bomba C/ Vibrador Nanma Alongamento Pênis,EROTIC_PUMPS
32,Mini Canister Ista Max Care 360 L/h - 2 Anos De Garantia,AQUARIUM_FILTERS
33,Comando Valvula 3.0l 12v V6 Vg30e 91-96 Pathfinder  Cvd30e,CAR_ENGINE_CAMSHAFTS
35,Esquema Nobreak Nhs Plils(3) 24v,STABILIZERS_AND_UPS
36,Espátula Chave Pentalobe Abrir iPhone Tela Lcd Ventosa,CELLPHONE_REPAIR_TOOL_KITS
37,8 Chapeus Cachorro Peludo 18x15cm,PARTY_HATS
38,Estante 3 Prateleiras Platina Politorno Castanho Cdwt,BOOKCASES
40,Mala De Mão Acácia,SUITCASES
41,Câmera Samsung J3 J320mds Frontal E Traseira Original ,CELLPHONE_REPLACEMENT_CAMERAS
42,Kit De Espatula Aida 6 Peças Coloridas,CELLPHONE_REPAIR_TOOL_KITS
43,Copo Térmico Para Café Chá 200ml - Tudo Fica Melhor Com Café,THERMAL_CUPS_AND_TUMBLERS
44,Sunga Para Menino Lindo Mar,MEN_SWIMWEAR
46,Receptor Digital Oi Tv Livre Hd + Antena + Cabo + Lnb Mono,TV_RECEIVERS_AND_DECODERS
48,Antena Parabólica Santa Rita 3 Metros - A Melhor Já Feita,TV_ANTENNAS
50,Ferro À Vapor Black & Decker Aj3032 1200w 127v Semi Novo,IRONS
52,Guidão Race Face Reto Full Carbon,BICYCLE_HANDLEBARS
